text_id,head,relation,tail,fb_head,fb_relation,fb_tail,label
280,Jefferson Davis monument,located in,New Orleans,Jefferson Davis monument,/location/location/containedby,/m/0f2tj,FALSE
280,Jefferson Davis,president of,Confederate States of America,/m/043q0,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,/m/020d5,FALSE
280,Mitch Landrieu,officeholder in,New Orleans,/m/05xdp5,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,/m/0f2tj,FALSE
280,Mitch Landrieu,title,Mayor,/m/05xdp5,/people/person/employment_history./business/employment_tenure/title,/m/0pqc5,FALSE
280,Barack Obama,role,US president,/m/02mjmr,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060d2,FALSE
280,Barack Obama,ethnicity,African American,/m/02mjmr,/people/person/ethnicity,/m/0x67,FALSE
280,Beaureguard BillyBob Johnson,supports,Confederate States of America,Beaureguard BillyBob Johnson,/base/popstra/organization/supporter./base/popstra/support/supporter,/m/020d5,FALSE
280,Fox news,reports on ,Black Lives Matter,/m/02z_b,/base/newsevents/news_reporting_organisation/news_reports./base/newsevents/news_report/event,/m/012hdhkj,FALSE
282,Andrew Jackson,role,US president,/m/0rlz,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060d2,FALSE
282,Donald Trump,reports on ?,American Civil War,/m/0cqt90,,/m/0kbq,FALSE
282,Donald Trump,interviewed in,The Red Shtick,/m/0cqt90,,The Red Shtick,FALSE
282,Donald Trump,member of,Party of Lincoln (republican party),/m/0cqt90,/government/politician/party./government/political_party_tenure/party,/m/07wbk,FALSE
282,Andrew Jackson,asociated with,Democratic Party,/m/0rlz,/government/politician/party./government/political_party_tenure/party,/m/0d075m,FALSE
282,Donald Trump,fan of,Kentucky Fried Chicken,/m/0cqt90,/food/diet_follower/follows_diet,/m/09b6t,FALSE
282,The Red Shtick,intern,Dave Robicheaux,The Red Shtick,/business/employer/employees./business/employment_tenure/person,/m/04lcmzy,FALSE
282,American Civil War,involved person,Colonel Sanders,/m/0kbq,/military/military_conflict/military_personnel_involved,/m/09b78,FALSE
282,Colonel Sanders,is,hero,/m/09b78,"/people/profession/specializations , /people/person/profession",/m/03kll,FALSE
286,Donald Trump,role,US president,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060d2,FALSE
286,United States Congress,legal charges against,Hillary Clinton,/m/07t31,,/m/0d06m5,FALSE
286,United States House Committee on Oversight and Government Reform,chairman ,Jason Chaffetz,United States House Committee on Oversight and Government Reform,organization/role/leaders./organization/leadership/person,/m/047blr4,FALSE
286,Jason Chaffetz,iterviewed,Donald Trump,/m/047blr4,,/m/0cqt90,FALSE
286,FBI,director (former),James Comey,/m/02_1m,/organization/role/leaders./organization/leadership/person,/m/06r04p,FALSE
286,Hillary Clinton,betray,United States of America,/m/0d06m5,,/m/09c7w0,FALSE
288,Freedom Crossroads,employee,Louis Leweigh,Freedom Crossroads,/business/employer/employees./business/employment_tenure/person,Louis Leweigh,FALSE
288,Louis Leweigh,occupation,Correspondent,Louis Leweigh,/people/person/profession,/m/02k13d,FALSE
288,Monica Lewinsky,affair,Bill Clinton,/m/0509p,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,/m/0157m,FALSE
288,Bill Clinton,suspected murder involvement,Monica Lewinsky,/m/0509p,,/m/0509p,FALSE
295,public servant (government official),people with role,Maxine Waters,/m/035y33,/people/profession/people_with_this_profession,/m/024tyk,FALSE
295,Donald Trump,role,US president,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/060d2,FALSE
295,Donald Trump,asociated with,Russia,/m/0cqt90,,/m/06bnz,FALSE
295,Maxine Waters,condemn,White House,/m/024tyk,,/m/081sq,FALSE
295,Maxine Waters,medical condition,Dementia,/m/024tyk,/medicine/notable_person_with_medical_condition/condition,/m/09klv,FALSE
295,Maxine Waters,asociated with,Democratic Party,/m/024tyk,/government/politician/party./government/political_party_tenure/party,/m/0d075m,FALSE
295,Maxine Waters,part of,United States Congress,/m/024tyk,/people/appointed_role/appointment./people/appointment/appointed_by,/m/07t31,FALSE
295,Maxine Waters,ethnicity,African American,/m/024tyk,/people/person/ethnicity,/m/0x67,FALSE
295,1tch,employee,Teddy Stick,1tch,/business/employer/employees./business/employment_tenure/person,Teddy Stick,FALSE
300,Donald Trump,cheered for,crisis (Housing Crisis),/m/0cqt90,,/m/02gyy_,TRUE
300,Hillary Clinton,critiqued,Donald Trump,/m/0d06m5,,/m/0cqt90,TRUE
300,Donald Trump,interviewed in,The Globe and Mail,/m/0cqt90,,/m/01j1gk,TRUE
300,crisis (housing),asociated with,Great Recession,/m/02gyy_,,/m/03qk63k,TRUE
300,Great Recession,affected negatively,the poor,/m/03qk63k,/influence/influence_node/influenced,the poor,TRUE
303,Jean Shepard,member of,Grand Ole Opry,/m/01npnk3,/organization/membership_organization/members./organization/organization_membership/member,/m/0gg86,TRUE
303,Jean Shepard,inducted,Country Music Hall of Fame,/m/01npnk3,/award/hall_of_fame_inductee/hall_of_fame_inductions./award/hall_of_fame_induction/hall_of_fame,/m/0ggkm,TRUE
303,Country Music Hall of Fame,hall_of_fame_dicipline,music,/m/0ggkm,/award/hall_of_fame/discipline,/m/04rlf,TRUE
303,Jean Shepard,interviewed in,Women Of Country,/m/01npnk3,,Women Of Country,TRUE
303,Jean Shepard,medical condition,Parkinsons,/m/01npnk3,/medicine/notable_person_with_medical_condition/condition,/m/0g02vk,TRUE
303,Jean Shepard,born in,Oklahoma,/m/01npnk3,/people/person/place_of_birth,/m/05mph,TRUE
303,Jean Shepard,lived in,"Visalia, California",/m/01npnk3,/people/person/places_lived./people/place_lived/location,/m/0r80l,TRUE
303,Jean Shepard,part of band,Melody Ranch Girls,/m/01npnk3,/music/musical_group/member./music/group_membership/member,Melody Ranch Girls,TRUE
303,Hank Thompson,music genre,Country Music,/m/01k3fvw,/music/artist/genre,/m/01lyv,TRUE
303,singer,people with profession,Jean Shepard,/m/09l65,/people/profession/people_with_this_profession,/m/01npnk3,TRUE
303,bassist,musical profession,Jean Shepard,/m/0gbbt,/people/profession/people_with_this_profession,/m/01npnk3,TRUE
307,Tim Kaine,associated with,Democratic Party,/m/053f8h,/government/politician/party./government/political_party_tenure/party,/m/0d075m,TRUE
307,Tim Kaine,"""running mate""",Hillary Clinton,/m/053f8h,,/m/0d06m5,TRUE
307,Tim Kaine,role,Senator,/m/053f8h,/people/person/employment_history./business/employment_tenure/title,/m/048zv9l,TRUE
307,Tim Kaine,lives in ,Virginia,/m/053f8h,/people/person/places_lived./people/place_lived/location,/m/07z1m,TRUE
307,Tim Kaine,works in,Virginia,/m/053f8h,,/m/07z1m,TRUE
307,Tim Kaine,interviewed in,The Ellen DeGeneres Show,/m/053f8h,,/m/0528kc,TRUE
307,Tim Kaine,nominee,Vice President of the U.S,/m/053f8h,,/m/080v2,TRUE
307,Mike Pence,asociated with ,Donald Trump,/m/022r9r,,/m/0cqt90,TRUE
307,Tim Kaine,grew up as,Republican Party,/m/053f8h,,/m/07wbk,TRUE
307,Hillary Clinton,grew up as,Republican Party,/m/0d06m5,,/m/07wbk,TRUE
308,Hofstra University,located in,New York,/m/02607j,/location/location/containedby,/m/02_286,TRUE
308,Not Who We Are campaign,is against,Donald Trump,Not Who We Are campaign,,/m/0cqt90,TRUE
308,Not Who We Are campaign,campain at location,Hofstra University,Not Who We Are campaign,/location/location/containedby,/m/02607j,TRUE
308,Donald Trump,is part of ,racism,/m/0cqt90,,/m/06d4h,TRUE
308,Not Who We Are campaign,manager of,Josh Hendler,Not Who We Are campaign,organization/role/leaders./organization/leadership/person,Josh Hendler,TRUE
308,Rob Bielunas,student at,Hofstra University,Rob Bielunas,/people/person/education./education/education/institution,/m/02607j,TRUE
308,Donald Trump,role,presidential candidate,/m/0cqt90,/government/politician/government_positions_held./government/government_position_held/office_position_or_title,/m/066q5c,TRUE
