,fb_head,fb_relation,fb_tail
0,/m/0157m,organization/role/leaders./organization/leadership/person,/m/0c0sl
1,/m/0157m,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
2,/m/01fnkt,people/person/employment_history./business/employment_tenure/title,/m/02qkv0r
3,/m/0b23zg,organization/role/leaders./organization/leadership/person,/m/0p8q4
4,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
5,/m/04y7p0_,organization/role/leaders./organization/leadership/person,/m/04y7p0_
6,/m/04y7p0_,people/person/employment_history./business/employment_tenure/title,/m/04gc2
7,/m/0h7q0rq,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
8,HES,organization/role/leaders./organization/leadership/person,Getty+ImagesJoe+Raedle
9,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,/m/07t65
10,/m/0h7q0rq,people/person/employment_history./business/employment_tenure/title,Alex+Pfeiffer
11,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,/m/0h7q0rq
12,/m/01_vwx,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
13,/m/0cb1tz,people/person/employment_history./business/employment_tenure/title,/m/0d8qb
14,/m/0h7q0rq,organization/organization/headquarters./location/mailing_address/country,/m/0v74
15,/m/0fynw,organization/role/leaders./organization/leadership/person,/m/0d06m5
16,/m/0d06m5,organization/role/leaders./organization/leadership/person,/m/0fynw
17,/m/0h7q0rq,people/person/places_lived./people/place_lived/location,/m/0g60z
18,/m/0fynw,organization/role/leaders./organization/leadership/person,/m/0h7q0rq
19,/m/0chw_,people/person/places_lived./people/place_lived/location,/m/03m7gdr
20,/m/0157m,people/person/employment_history./business/employment_tenure/title,/m/06slz5
21,/m/0268g3w,people/person/employment_history./business/employment_tenure/title,/m/02g5lp
22,/m/07j6ty,people/person/employment_history./business/employment_tenure/title,/m/04c_3b
23,Michelle,people/person/employment_history./business/employment_tenure/title,/m/02xy5
24,/m/01ndfjw,people/person/employment_history./business/employment_tenure/title,/m/01g2j2
25,/m/04ykg,organization/role/leaders./organization/leadership/person,/m/017bdl
26,/m/05f9m8h,people/person/employment_history./business/employment_tenure/title,/m/03x_sks
27,/m/0gsksn,organization/role/leaders./organization/leadership/person,/m/04ykg
28,/m/012bzwng,people/person/religion,/m/01lp8
29,/m/02wx77q,people/person/employment_history./business/employment_tenure/title,/m/02mwvv
30,/m/02wx77q,organization/role/leaders./organization/leadership/person,/m/09gd5v1
31,/m/02x2tr8,organization/role/leaders./organization/leadership/person,/m/02_1m
32,/m/06r04p,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
33,/m/06r04p,organization/role/leaders./organization/leadership/person,/m/02_1m
34,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,/m/05_xks
35,/m/0dtj5,organization/role/leaders./organization/leadership/person,/m/01zty6
36,/m/0d06m5,organization/role/leaders./organization/leadership/person,/m/0dtj5
37,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,/m/02_1m
38,/m/02mjmr,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
